strategy_name,source_hypothesis_id,race_id,race_date,stadium_code,stadium_name,race_no,bet_type,combo,is_hit,realized_payout,notes
Gemini_H001_Exacta_L2_Pressure,H-001,202501051702,2025-01-05,17,宮島,2,2連単,2-4,0,0,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202501052407,2025-01-05,24,大村,7,2連単,2-1,0,0,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202501052407,2025-01-05,24,大村,7,2連単,2-3,0,0,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202501052407,2025-01-05,24,大村,7,2連単,2-4,0,0,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202501060306,2025-01-06,03,江戸川,6,2連単,2-1,1,570,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202501060306,2025-01-06,03,江戸川,6,2連単,2-3,0,0,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202501060306,2025-01-06,03,江戸川,6,2連単,2-4,0,0,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202501060308,2025-01-06,03,江戸川,8,2連単,2-1,0,0,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202501060308,2025-01-06,03,江戸川,8,2連単,2-3,0,0,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202501060308,2025-01-06,03,江戸川,8,2連単,2-4,0,0,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202501061101,2025-01-06,11,びわこ,1,2連単,2-1,0,0,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202501061101,2025-01-06,11,びわこ,1,2連単,2-3,0,0,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202501061101,2025-01-06,11,びわこ,1,2連単,2-4,1,780,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202501061107,2025-01-06,11,びわこ,7,2連単,2-1,0,0,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202501061107,2025-01-06,11,びわこ,7,2連単,2-3,0,0,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202501061107,2025-01-06,11,びわこ,7,2連単,2-4,0,0,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202501062010,2025-01-06,20,若松,10,2連単,2-1,0,0,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202501062010,2025-01-06,20,若松,10,2連単,2-3,0,0,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202501062010,2025-01-06,20,若松,10,2連単,2-4,0,0,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202501071305,2025-01-07,13,尼崎,5,2連単,2-1,0,0,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202501071305,2025-01-07,13,尼崎,5,2連単,2-3,0,0,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202501071305,2025-01-07,13,尼崎,5,2連単,2-4,0,0,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202501080411,2025-01-08,04,平和島,11,2連単,2-1,0,0,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202501080411,2025-01-08,04,平和島,11,2連単,2-3,0,0,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202501080411,2025-01-08,04,平和島,11,2連単,2-4,0,0,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202501080610,2025-01-08,06,浜名湖,10,2連単,2-1,0,0,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202501080610,2025-01-08,06,浜名湖,10,2連単,2-3,0,0,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202501080610,2025-01-08,06,浜名湖,10,2連単,2-4,0,0,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202501082306,2025-01-08,23,唐津,6,2連単,2-1,0,0,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202501082306,2025-01-08,23,唐津,6,2連単,2-3,0,0,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202501082306,2025-01-08,23,唐津,6,2連単,2-4,0,0,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202501090710,2025-01-09,07,蒲郡,10,2連単,2-1,0,0,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202501090710,2025-01-09,07,蒲郡,10,2連単,2-3,0,0,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202501090710,2025-01-09,07,蒲郡,10,2連単,2-4,0,0,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202501090902,2025-01-09,09,津,2,2連単,2-1,0,0,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202501090902,2025-01-09,09,津,2,2連単,2-3,0,0,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202501090902,2025-01-09,09,津,2,2連単,2-4,0,0,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202501091410,2025-01-09,14,鳴門,10,2連単,2-1,0,0,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202501091410,2025-01-09,14,鳴門,10,2連単,2-3,0,0,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202501091410,2025-01-09,14,鳴門,10,2連単,2-4,1,1100,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202501102305,2025-01-10,23,唐津,5,2連単,2-1,0,0,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202501102305,2025-01-10,23,唐津,5,2連単,2-3,0,0,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202501102305,2025-01-10,23,唐津,5,2連単,2-4,0,0,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202501102311,2025-01-10,23,唐津,11,2連単,2-1,1,540,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202501102311,2025-01-10,23,唐津,11,2連単,2-3,0,0,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202501102311,2025-01-10,23,唐津,11,2連単,2-4,0,0,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202501111205,2025-01-11,12,住之江,5,2連単,2-1,0,0,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202501111205,2025-01-11,12,住之江,5,2連単,2-3,0,0,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202501111205,2025-01-11,12,住之江,5,2連単,2-4,0,0,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202501111402,2025-01-11,14,鳴門,2,2連単,2-1,0,0,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202501111402,2025-01-11,14,鳴門,2,2連単,2-3,0,0,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202501111402,2025-01-11,14,鳴門,2,2連単,2-4,0,0,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202501111504,2025-01-11,15,丸亀,4,2連単,2-1,0,0,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202501111504,2025-01-11,15,丸亀,4,2連単,2-3,0,0,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202501111504,2025-01-11,15,丸亀,4,2連単,2-4,0,0,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202501112112,2025-01-11,21,芦屋,12,2連単,2-1,0,0,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202501112112,2025-01-11,21,芦屋,12,2連単,2-3,0,0,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202501112112,2025-01-11,21,芦屋,12,2連単,2-4,0,0,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202501120208,2025-01-12,02,戸田,8,2連単,2-1,0,0,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202501120208,2025-01-12,02,戸田,8,2連単,2-3,0,0,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202501120208,2025-01-12,02,戸田,8,2連単,2-4,0,0,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202501120209,2025-01-12,02,戸田,9,2連単,2-1,0,0,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202501120209,2025-01-12,02,戸田,9,2連単,2-3,1,500,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202501120209,2025-01-12,02,戸田,9,2連単,2-4,0,0,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202501120602,2025-01-12,06,浜名湖,2,2連単,2-1,1,3680,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202501120602,2025-01-12,06,浜名湖,2,2連単,2-3,0,0,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202501120602,2025-01-12,06,浜名湖,2,2連単,2-4,0,0,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202501121601,2025-01-12,16,児島,1,2連単,2-1,0,0,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202501121601,2025-01-12,16,児島,1,2連単,2-3,0,0,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202501121601,2025-01-12,16,児島,1,2連単,2-4,0,0,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202501130203,2025-01-13,02,戸田,3,2連単,2-1,0,0,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202501130203,2025-01-13,02,戸田,3,2連単,2-3,1,810,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202501130203,2025-01-13,02,戸田,3,2連単,2-4,0,0,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202501131705,2025-01-13,17,宮島,5,2連単,2-1,0,0,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202501131705,2025-01-13,17,宮島,5,2連単,2-3,1,700,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202501131705,2025-01-13,17,宮島,5,2連単,2-4,0,0,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202501131806,2025-01-13,18,徳山,6,2連単,2-1,0,0,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202501131806,2025-01-13,18,徳山,6,2連単,2-3,0,0,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202501131806,2025-01-13,18,徳山,6,2連単,2-4,0,0,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202501140306,2025-01-14,03,江戸川,6,2連単,2-1,0,0,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202501140306,2025-01-14,03,江戸川,6,2連単,2-3,0,0,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202501140306,2025-01-14,03,江戸川,6,2連単,2-4,0,0,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202501141007,2025-01-14,10,三国,7,2連単,2-1,0,0,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202501141007,2025-01-14,10,三国,7,2連単,2-3,0,0,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202501141007,2025-01-14,10,三国,7,2連単,2-4,0,0,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202501141309,2025-01-14,13,尼崎,9,2連単,2-1,0,0,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202501141309,2025-01-14,13,尼崎,9,2連単,2-3,1,370,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202501141309,2025-01-14,13,尼崎,9,2連単,2-4,0,0,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202501151008,2025-01-15,10,三国,8,2連単,2-1,0,0,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202501151008,2025-01-15,10,三国,8,2連単,2-3,0,0,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202501151008,2025-01-15,10,三国,8,2連単,2-4,0,0,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202501151308,2025-01-15,13,尼崎,8,2連単,2-1,0,0,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202501151308,2025-01-15,13,尼崎,8,2連単,2-3,0,0,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202501151308,2025-01-15,13,尼崎,8,2連単,2-4,0,0,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202501161007,2025-01-16,10,三国,7,2連単,2-1,0,0,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202501161007,2025-01-16,10,三国,7,2連単,2-3,0,0,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202501161007,2025-01-16,10,三国,7,2連単,2-4,0,0,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202501161311,2025-01-16,13,尼崎,11,2連単,2-1,0,0,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202501161311,2025-01-16,13,尼崎,11,2連単,2-3,0,0,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202501161311,2025-01-16,13,尼崎,11,2連単,2-4,0,0,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202501162104,2025-01-16,21,芦屋,4,2連単,2-1,0,0,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202501162104,2025-01-16,21,芦屋,4,2連単,2-3,0,0,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202501162104,2025-01-16,21,芦屋,4,2連単,2-4,0,0,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202501171106,2025-01-17,11,びわこ,6,2連単,2-1,0,0,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202501171106,2025-01-17,11,びわこ,6,2連単,2-3,0,0,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202501171106,2025-01-17,11,びわこ,6,2連単,2-4,0,0,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202501171504,2025-01-17,15,丸亀,4,2連単,2-1,0,0,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202501171504,2025-01-17,15,丸亀,4,2連単,2-3,0,0,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202501171504,2025-01-17,15,丸亀,4,2連単,2-4,1,600,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202501171806,2025-01-17,18,徳山,6,2連単,2-1,0,0,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202501171806,2025-01-17,18,徳山,6,2連単,2-3,0,0,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202501171806,2025-01-17,18,徳山,6,2連単,2-4,1,410,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202501180701,2025-01-18,07,蒲郡,1,2連単,2-1,0,0,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202501180701,2025-01-18,07,蒲郡,1,2連単,2-3,0,0,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202501180701,2025-01-18,07,蒲郡,1,2連単,2-4,0,0,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202501180707,2025-01-18,07,蒲郡,7,2連単,2-1,0,0,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202501180707,2025-01-18,07,蒲郡,7,2連単,2-3,0,0,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202501180707,2025-01-18,07,蒲郡,7,2連単,2-4,1,1930,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202501180802,2025-01-18,08,常滑,2,2連単,2-1,0,0,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202501180802,2025-01-18,08,常滑,2,2連単,2-3,1,2570,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202501180802,2025-01-18,08,常滑,2,2連単,2-4,0,0,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202501180908,2025-01-18,09,津,8,2連単,2-1,1,380,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202501180908,2025-01-18,09,津,8,2連単,2-3,0,0,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202501180908,2025-01-18,09,津,8,2連単,2-4,0,0,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202501181504,2025-01-18,15,丸亀,4,2連単,2-1,0,0,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202501181504,2025-01-18,15,丸亀,4,2連単,2-3,0,0,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202501181504,2025-01-18,15,丸亀,4,2連単,2-4,0,0,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202501190610,2025-01-19,06,浜名湖,10,2連単,2-1,1,1360,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202501190610,2025-01-19,06,浜名湖,10,2連単,2-3,0,0,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202501190610,2025-01-19,06,浜名湖,10,2連単,2-4,0,0,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202501190905,2025-01-19,09,津,5,2連単,2-1,0,0,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202501190905,2025-01-19,09,津,5,2連単,2-3,0,0,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202501190905,2025-01-19,09,津,5,2連単,2-4,0,0,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202501191807,2025-01-19,18,徳山,7,2連単,2-1,0,0,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202501191807,2025-01-19,18,徳山,7,2連単,2-3,0,0,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202501191807,2025-01-19,18,徳山,7,2連単,2-4,0,0,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202501200105,2025-01-20,01,桐生,5,2連単,2-1,1,450,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202501200105,2025-01-20,01,桐生,5,2連単,2-3,0,0,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202501200105,2025-01-20,01,桐生,5,2連単,2-4,0,0,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202501201811,2025-01-20,18,徳山,11,2連単,2-1,0,0,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202501201811,2025-01-20,18,徳山,11,2連単,2-3,0,0,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202501201811,2025-01-20,18,徳山,11,2連単,2-4,0,0,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202501201812,2025-01-20,18,徳山,12,2連単,2-1,0,0,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202501201812,2025-01-20,18,徳山,12,2連単,2-3,0,0,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202501201812,2025-01-20,18,徳山,12,2連単,2-4,0,0,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202501221102,2025-01-22,11,びわこ,2,2連単,2-1,0,0,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202501221102,2025-01-22,11,びわこ,2,2連単,2-3,0,0,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202501221102,2025-01-22,11,びわこ,2,2連単,2-4,0,0,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202501221202,2025-01-22,12,住之江,2,2連単,2-1,0,0,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202501221202,2025-01-22,12,住之江,2,2連単,2-3,0,0,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202501221202,2025-01-22,12,住之江,2,2連単,2-4,0,0,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202501221203,2025-01-22,12,住之江,3,2連単,2-1,0,0,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202501221203,2025-01-22,12,住之江,3,2連単,2-3,0,0,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202501221203,2025-01-22,12,住之江,3,2連単,2-4,0,0,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202501221308,2025-01-22,13,尼崎,8,2連単,2-1,1,300,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202501221308,2025-01-22,13,尼崎,8,2連単,2-3,0,0,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202501221308,2025-01-22,13,尼崎,8,2連単,2-4,0,0,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202501221906,2025-01-22,19,下関,6,2連単,2-1,0,0,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202501221906,2025-01-22,19,下関,6,2連単,2-3,0,0,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202501221906,2025-01-22,19,下関,6,2連単,2-4,0,0,Normalized H-001 exacta
Gemini_H001_Exacta_L2_Pressure,H-001,202501222305,2025-01-22,23,唐津,5,2連単,2-1,0,0,Normalized H-001 exacta
