race_id,race_date,bet_amount,payout,profit,cumulative_profit,drawdown,profit_100yen,cumulative_profit_100yen,logic,variant,source_note
202504012107,2025-04-01,100,0,-100,-100,0,-100.0,-100.0,125_broad_four_stadium,existing_aligned_x1 + final_day_cut,best aligned 125 race-results with final-day rows removed by current shared filter
202504021202,2025-04-02,100,0,-100,-200,-100,-100.0,-200.0,125_broad_four_stadium,existing_aligned_x1 + final_day_cut,best aligned 125 race-results with final-day rows removed by current shared filter
202504051201,2025-04-05,100,0,-100,-300,-200,-100.0,-300.0,125_broad_four_stadium,existing_aligned_x1 + final_day_cut,best aligned 125 race-results with final-day rows removed by current shared filter
202504051202,2025-04-05,100,0,-100,-400,-300,-100.0,-400.0,125_broad_four_stadium,existing_aligned_x1 + final_day_cut,best aligned 125 race-results with final-day rows removed by current shared filter
202504080302,2025-04-08,100,0,-100,-500,-400,-100.0,-500.0,125_broad_four_stadium,existing_aligned_x1 + final_day_cut,best aligned 125 race-results with final-day rows removed by current shared filter
202504081409,2025-04-08,100,0,-100,-600,-500,-100.0,-600.0,125_broad_four_stadium,existing_aligned_x1 + final_day_cut,best aligned 125 race-results with final-day rows removed by current shared filter
202504090301,2025-04-09,100,0,-100,-700,-600,-100.0,-700.0,125_broad_four_stadium,existing_aligned_x1 + final_day_cut,best aligned 125 race-results with final-day rows removed by current shared filter
202504110303,2025-04-11,100,0,-100,-800,-700,-100.0,-800.0,125_broad_four_stadium,existing_aligned_x1 + final_day_cut,best aligned 125 race-results with final-day rows removed by current shared filter
202504130302,2025-04-13,100,0,-100,-900,-800,-100.0,-900.0,125_broad_four_stadium,existing_aligned_x1 + final_day_cut,best aligned 125 race-results with final-day rows removed by current shared filter
202504251405,2025-04-25,100,0,-100,-1000,-900,-100.0,-1000.0,125_broad_four_stadium,existing_aligned_x1 + final_day_cut,best aligned 125 race-results with final-day rows removed by current shared filter
202504251407,2025-04-25,100,0,-100,-1100,-1000,-100.0,-1100.0,125_broad_four_stadium,existing_aligned_x1 + final_day_cut,best aligned 125 race-results with final-day rows removed by current shared filter
202504271407,2025-04-27,100,0,-100,-1200,-1100,-100.0,-1200.0,125_broad_four_stadium,existing_aligned_x1 + final_day_cut,best aligned 125 race-results with final-day rows removed by current shared filter
