race_id,race_date,stadium_code,stadium_name,race_no,grade,meeting_day_no,meeting_day_label,is_final_day,lane,racer_id,racer_name,racer_class,branch,hometown,age,weight_kg,weight_kg_before,adjust_weight_kg,f_count,l_count,avg_start_timing,national_win_rate,national_place_rate,national_top3_rate,local_win_rate,local_place_rate,local_top3_rate,motor_no,motor_place_rate,motor_top3_rate,boat_no,boat_place_rate,boat_top3_rate,exhibition_time,tilt,course_entry,start_exhibition_st,start_exhibition_status,weather_condition,weather_temp_c,wind_speed_m,wind_direction_code,water_temp_c,wave_height_cm,first_place_lane,second_place_lane,third_place_lane,is_winner,is_top2,is_top3,exhibition_time_rank,exhibition_time_diff_from_top,win_rate_rank,st_diff_from_inside,is_hometown
202401020102,2024-01-02,01,桐生,2,一般,1,第1日,False,2,5006,久保原秀,B1,群馬,,27,55.0,,,,,,4.03,16.85,,4.61,26.98,,45,16.67,,52,34.78,,6.76,,2,0.24,,晴,,2,,,1,6,4,1,0,0,0,4,0.04,6,0.03,0
202401020102,2024-01-02,01,桐生,2,一般,1,第1日,False,3,3619,長谷川充,B1,群馬,,50,52.0,,,,,,5.04,25.56,,4.99,23.96,,58,0.0,,69,20.83,,6.8,,3,0.25,,晴,,2,,,1,6,4,1,0,0,0,6,0.08,4,0.01,0
202401020102,2024-01-02,01,桐生,2,一般,1,第1日,False,4,3475,橋本久和,A2,群馬,,53,52.0,,,,,,5.95,41.0,,5.32,38.24,,69,0.0,,20,25.0,,6.74,,4,0.15,,晴,,2,,,1,6,4,1,0,1,1,2,0.02,2,-0.1,0
202401020102,2024-01-02,01,桐生,2,一般,1,第1日,False,5,3414,加瀬智宏,B1,群馬,,54,54.0,,,,,,4.7,27.16,,5.29,33.68,,60,0.0,,32,41.67,,6.75,,5,0.25,,晴,,2,,,1,6,4,1,0,0,0,3,0.03,5,0.1,0
202401020102,2024-01-02,01,桐生,2,一般,1,第1日,False,6,4486,野村誠,A1,群馬,,37,51.0,,,,,,6.23,44.68,,6.0,42.46,,14,57.14,,62,27.27,,6.77,,6,0.21,,晴,,2,,,1,6,4,1,1,1,1,5,0.05,1,-0.04,0
202401020106,2024-01-02,01,桐生,6,一般,1,第1日,False,1,3159,江口晃生,A1,群馬,,58,54.0,,,,,,6.59,46.25,,7.96,71.56,,40,71.43,,29,30.77,,6.73,,1,0.28,,晴,,0,,,0,1,2,3,1,1,1,1,0.0,1,,0
202401020106,2024-01-02,01,桐生,6,一般,1,第1日,False,2,4078,渡辺史之,B1,群馬,,45,51.0,,,,,,3.26,14.52,,4.48,27.03,,59,0.0,,53,54.17,,6.8,,2,0.31,,晴,,0,,,0,1,2,3,0,1,1,2,0.07,6,0.03,0
202401020106,2024-01-02,01,桐生,6,一般,1,第1日,False,3,3827,今泉徹,B1,群馬,,50,53.0,,,,,,5.11,29.55,,4.57,22.11,,15,33.33,,19,21.74,,6.81,,3,0.29,,晴,,0,,,0,1,2,3,0,0,1,3,0.08,2,-0.02,0
202401020106,2024-01-02,01,桐生,6,一般,1,第1日,False,4,3652,森下勇,B1,群馬,,50,56.0,,,,,,3.54,16.05,,3.88,20.21,,30,16.67,,14,52.17,,6.84,,4,0.34,,晴,,0,,,0,1,2,3,0,0,0,6,0.11,4,0.05,0
202401020106,2024-01-02,01,桐生,6,一般,1,第1日,False,5,3970,亀山高雅,B1,群馬,,47,54.0,,,,,,4.51,21.95,,5.27,32.81,,13,0.0,,39,42.31,,6.83,,5,0.37,,晴,,0,,,0,1,2,3,0,0,0,5,0.1,3,0.03,0
202401020106,2024-01-02,01,桐生,6,一般,1,第1日,False,6,3973,崎利仁,B1,群馬,,47,54.0,,,,,,3.33,11.9,,4.69,20.55,,66,0.0,,41,40.91,,6.81,,6,0.3,,晴,,0,,,0,1,2,3,0,0,0,4,0.08,5,-0.07,0
202401020309,2024-01-02,03,江戸川,9,一般,1,第1日,False,1,3105,内山文典,A2,東京,,60,53.0,,,,,,5.4,32.23,,5.81,41.79,,60,37.06,,45,45.45,,6.81,,1,0.09,,曇り,,3,,,5,2,6,1,0,0,1,3,0.06,1,,0
202401020309,2024-01-02,03,江戸川,9,一般,1,第1日,False,2,4883,岡部大輝,A2,東京,,28,52.0,,,,,,5.35,32.43,,5.38,36.78,,37,38.93,,14,42.96,,6.75,,2,0.13,,曇り,,3,,,5,2,6,1,1,1,1,1,0.0,2,0.04,0
202401020309,2024-01-02,03,江戸川,9,一般,1,第1日,False,3,4211,村田敦,B1,東京,,40,60.0,,,,,,3.73,14.42,,4.69,29.17,,15,39.31,,19,28.87,,6.91,,3,0.09,,曇り,,3,,,5,2,6,1,0,0,0,6,0.16,5,-0.04,0
202401020309,2024-01-02,03,江戸川,9,一般,1,第1日,False,4,5285,若林麗,B2,東京,,24,50.0,,,,,,1.56,0.0,,1.53,0.0,,29,36.99,,32,27.27,,6.75,,4,0.12,,曇り,,3,,,5,2,6,1,0,0,0,2,0.0,6,0.03,0
202401020309,2024-01-02,03,江戸川,9,一般,1,第1日,False,5,3565,坂本徳克,B1,東京,,53,56.0,,,,,,3.87,17.46,,3.92,15.56,,20,30.71,,51,25.53,,6.82,,5,0.05,,曇り,,3,,,5,2,6,1,0,0,0,4,0.07,4,-0.07,0
202401020309,2024-01-02,03,江戸川,9,一般,1,第1日,False,6,3808,秋田健太,B1,埼玉,,48,63.0,,,,,,3.96,14.49,,4.74,21.21,,14,46.21,,41,32.87,,6.84,,6,0.07,,曇り,,3,,,5,2,6,1,0,1,1,5,0.09,3,0.02,0
202401020607,2024-01-02,06,浜名湖,7,一般,5,第5日,False,1,3987,後藤正宗,A2,静岡,,45,52.0,,,,,,5.61,38.93,,5.9,39.85,,9,39.33,,62,56.41,,6.61,,1,0.27,,晴,,2,,,1,5,4,2,0,0,0,1,0.0,3,,0
202401020607,2024-01-02,06,浜名湖,7,一般,5,第5日,False,2,4058,野末智一,B1,静岡,,44,51.0,,,,,,5.51,38.02,,4.78,27.91,,32,34.23,,22,40.0,,6.8,,2,0.25,,晴,,2,,,1,5,4,2,0,0,1,5,0.19,4,-0.02,0
202401020607,2024-01-02,06,浜名湖,7,一般,5,第5日,False,3,3474,松瀬弘美,B1,静岡,,53,47.0,,,,,,5.06,29.9,,5.07,29.36,,5,31.58,,31,29.27,,6.75,,3,0.29,,晴,,2,,,1,5,4,2,0,0,0,4,0.14,5,0.04,0
202401020607,2024-01-02,06,浜名湖,7,一般,5,第5日,False,4,4989,石原翼,B1,静岡,,26,52.0,,,,,,6.63,49.02,,5.75,41.99,,66,28.23,,45,34.15,,6.68,,4,0.06,,晴,,2,,,1,5,4,2,0,1,1,3,0.07,2,-0.23,0
202401020607,2024-01-02,06,浜名湖,7,一般,5,第5日,False,5,3960,菊地孝平,A1,静岡,,45,54.0,,,,,,7.62,53.85,,7.56,59.35,,2,39.73,,30,51.35,,6.63,,5,0.01,,晴,,2,,,1,5,4,2,1,1,1,2,0.02,1,-0.05,0
